"specialdelivery9am","Special Delivery: Guaranteed by 9am"
"specialdelivery1pm","Special Delivery: Guaranteed by 1pm"
"specialdelivery1pmsaturday","Special Delivery: Guaranteed by 1pm Saturday"
"specialdelivery9amsaturday","Special Delivery: Guaranteed by 9am Saturday"
"firstclasslettersignedfor","Signed For: First Class Letter"
"firstclasslargelettersignedfor","Signed For: First Class Large Letter"
"firstclasssignedforsmall","Signed For: First Small Parcel"
"firstclasssignedformedium","Signed For: First Medium Parcel"
"secondclasslettersignedfor","Signed For: Second Class Class Letter"
"secondclasslargelettersignedfor","Signed For: Second Class Class Large Letter"
"secondclasssmallparcelsignedfor","Signed For: Second Class Small Parcel"
"secondclassmediumparcelsignedfor","Signed For: Second Class Medium Parcel"
"letter","Standard First Class Letter"
"largeletter","Standard First Class Large Letter"
"firstclasssmall","Standard First Class Small Parcel"
"firstclassmedium","Standard First Class Medium Parcel"
"secondclassletter","Second Class: Letter"
"secondclasslargeletter","Second Class: Large Letter"
"secondclasssmallparcel","Second Class: Small Parcel"
"secondclassmediumparcel","Second Class: Medium Parcel"
"internationalstandardletter","International Standard Letter"
"internationalstandardlargeletter","International Standard Large Letter"
"internationalstandardsmallparcel","International Standard Small Parcel"
"internationallettertrackedsigned","International Tracked and Signed Letter"
"internationallargelettertrackedandsigned","International Tracked and Signed Large Letter"
"internationalsmallparceltrackedsigned","International Tracked and Signed Small Parcel"
"internationaltrackedletter","International Tracked Letter"
"internationaltrackedlargeletter","International Tracked Large Letter"
"internationaltrackedsmallparcel","International Tracked Small Parcel"
"internationallettersigned","International Signed Letter"
"internationalsignedlargeletter","International Signed Large Letter"
"internationalsignedsmallparcel","International Signed Small Parcel"
"internationaleconomyletter","International Economy Letter"
"internationaleconomylargeletter","International Economy Large Letter"
"internationaleconomysmallparcel","International Economy Small Parcel"
"parcelforceworldwideexpress9","Parcelforce Worldwide: Express 9"
"parcelforceworldwideexpress10","Parcelforce Worldwide: Express 10"
"parcelforceworldwideexpressAM","Parcelforce Worldwide: Express AM"
"parcelforceworldwideexpress24","Parcelforce Worldwide: Express 24"
"parcelforceworldwideexpress48","Parcelforce Worldwide: Express 48"
"parcelforceworldwideexpress9saturday","Parcelforce Worldwide: Express 9 Saturday"
"parcelforceworldwideexpress10saturday","Parcelforce Worldwide: Express 10 Saturday"
"parcelforceworldwideexpressAMsaturday","Parcelforce Worldwide: Express AM Saturday"
"parcelforceworldwideexpress24saturday","Parcelforce Worldwide: Express 24 Saturday"
"parcelforceworldwideexpress48saturday","Parcelforce Worldwide: Express 48 Saturday"